Sheet count: 1
Sheet names: ['Sheet1']

=== Sheet: Sheet1 ===
  Rows: 391, Cols: 23
  Merged cells: ['P163:Q163', 'L91:M91', 'A166:A169', 'C144:C146', 'N91:O91', 'A286:I286', 'J19:K19', 'L19:M19', 'A30:A33', 'H55:I55', 'D90:Q90', 'A370:A373', 'A281:A284', 'A330:A333', 'A388:A391', 'A366:A369', 'A269:I269', 'A358:B360', 'D108:W108', 'T127:U127', 'V127:W127', 'D377:E377', 'A98:A101', 'C18:C20', 'C322:C324', 'P359:Q359', 'A76:A79', 'A90:B92', 'A376:B378', 'A8:A11', 'L109:M109', 'A126:B128', 'D36:S36', 'H37:I37', 'A361:B361', 'D127:E127', 'A22:A25', 'A308:A311', 'A143:U143', 'A102:A105', 'J305:K305', 'F341:G341', 'D73:E73', 'A111:B111', 'V109:W109', 'A228:F228', 'T145:U145', 'J163:K163', 'L145:M145', 'F359:G359', 'N145:O145', 'C36:C38', 'A39:B39', 'H91:I91', 'A334:A337', 'A94:A97', 'J73:K73', 'D19:E19', 'A304:B306', 'D305:E305', 'F19:G19', 'A362:A365', 'R19:S19', 'A36:B38', 'D359:E359', 'H341:I341', 'A174:A177', 'A12:A15', 'C376:C378', 'R359:S359', 'A379:B379', 'A162:B164', 'L163:M163', 'A316:A319', 'A120:A123', 'C54:C56', 'F109:G109', 'A272:B272', 'D126:W126', 'H109:I109', 'A298:A301', 'B180:B182', 'A129:B129', 'R109:S109', 'A161:U161', 'D37:E37', 'T109:U109', 'A307:B307', 'A380:A383', 'H19:I19', 'P377:Q377', 'C340:C342', 'P37:Q37', 'A156:A159', 'R377:S377', 'D144:U144', 'D323:E323', 'F323:G323', 'A165:B165', 'A322:B324', 'C90:C92', 'A93:B93', 'A130:A133', 'P127:Q127', 'H145:I145', 'R127:S127', 'J145:K145', 'A344:A347', 'A58:A61', 'N55:O55', 'A40:A43', 'P55:Q55', 'D54:Q54', 'F73:G73', 'L359:M359', 'A325:B325', 'C72:C74', 'A352:A355', 'C358:C360', 'A343:B343', 'D322:G322', 'A179:F179', 'A84:A87', 'F305:G305', 'A66:A69', 'A229:A231', 'D341:E341', 'C229:F229', 'H73:I73', 'N341:O341', 'A357:S357', 'P341:Q341', 'A75:B75', 'A108:B110', 'D163:E163', 'C108:C110', 'A80:A83', 'F163:G163', 'A273:A276', 'H163:I163', 'A3:B3', 'A326:A329', 'D340:Q340', 'A384:A387', 'D91:E91', 'R163:S163', 'A1:D1', 'F91:G91', 'A21:B21', 'T163:U163', 'P91:Q91', 'A57:B57', 'A26:A29', 'N19:O19', 'A134:A137', 'P19:Q19', 'J91:K91', 'A144:B146', 'B229:B231', 'A4:A7', 'A62:A65', 'A44:A47', 'C162:C164', 'D55:E55', 'A147:B147', 'A53:Q53', 'A72:B74', 'A375:S375', 'N359:O359', 'A290:A293', 'F377:G377', 'H377:I377', 'A48:A51', 'D109:E109', 'A170:A173', 'A321:G321', 'A148:A151', 'N109:O109', 'D18:S18', 'P109:Q109', 'A17:S17', 'J37:K37', 'A138:A141', 'L377:M377', 'L37:M37', 'A35:S35', 'F127:G127', 'N37:O37', 'N377:O377', 'A107:W107', 'H127:I127', 'J127:K127', 'A339:Q339', 'D358:S358', 'F55:G55', 'D72:O72', 'A180:A182', 'D162:U162', 'A340:B342', 'A54:B56', 'A71:O71', 'R37:S37', 'L127:M127', 'D145:E145', 'A270:B271', 'N127:O127', 'F145:G145', 'A277:A280', 'J55:K55', 'H359:I359', 'P145:Q145', 'L55:M55', 'C304:C306', 'R145:S145', 'A89:Q89', 'J359:K359', 'A2:B2', 'L73:M73', 'C126:C128', 'N73:O73', 'H305:I305', 'A18:B20', 'A116:A119', 'A294:A297', 'D304:K304', 'J109:K109', 'A303:K303', 'A112:A115', 'A312:A315', 'F37:G37', 'C180:F180', 'A348:A351', 'J341:K341', 'L341:M341', 'A152:A155', 'A287:B288', 'J377:K377', 'A125:W125', 'A289:B289', 'N163:O163', 'D376:S376']
  R1: ['응답자 일반현황', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R187: ['5 석탄, 원유 및 천연가스 광업', '106.0', '62.0', '41.0', '', '3.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R188: ['6 금속 광업', '64.0', '43.0', '11.0', '', '10.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R189: ['7 비금속광물 광업; 연료용 제외', '58.0', '34.0', '7.0', '', '17.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R190: ['8 광업 지원 서비스업', '17.0', '14.0', '3.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R191: ['10 식료품 제조업', '48.0', '31.0', '13.0', '', '4.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R192: ['11 음료 제조업', '94.0', '67.0', '18.0', '', '9.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R193: ['13 섬유제품 제조업; 의복 제외', '20.0', '12.0', '3.0', '', '5.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R194: ['14 의복, 의복 액세서리 및 모피제품 제조업', '1.0', '', '', '', '1.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R195: ['21 의료용 물질 및 의약품 제조업', '1.0', '1.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R196: ['23 비금속 광물제품 제조업', '1.0', '', '1.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R197: ['24 1차 금속 제조업', '35.0', '26.0', '6.0', '', '3.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R198: ['25 금속 가공제품 제조업; 기계 및 가구 제외', '23.0', '10.0', '13.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R199: ['26 전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업', '6.0', '5.0', '', '', '1.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R200: ['28 전기장비 제조업', '20.0', '11.0', '3.0', '', '6.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R201: ['32 가구 제조업', '2.0', '2.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R202: ['33 기타 제품 제조업', '1.0', '1.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R203: ['34 산업용 기계 및 장비 수리업', '1.0', '1.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R204: ['37 하수, 폐수 및 분뇨 처리업', '1.0', '1.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R205: ['41 종합 건설업', '25.0', '23.0', '2.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R206: ['42 전문직별 공사업', '10.0', '6.0', '3.0', '', '1.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R207: ['46 도매 및 상품 중개업', '5.0', '5.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R208: ['47 소매업; 자동차 제외', '1.0', '1.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R209: ['50 수상 운송업', '1.0', '1.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R210: ['56 음식점 및 주점업', '8.0', '2.0', '6.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R211: ['58 출판업', '10.0', '2.0', '', '', '8.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R212: ['59 영상ㆍ오디오 기록물 제작 및 배급업', '2.0', '1.0', '', '', '1.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R213: ['61 우편 및 통신업', '4.0', '4.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R214: ['62 컴퓨터 프로그래밍, 시스템 통합 및 관리업', '18.0', '5.0', '3.0', '', '10.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R215: ['63 정보서비스업', '2.0', '', '', '', '2.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R216: ['64 금융업', '21.0', '19.0', '2.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R217: ['66 금융 및 보험관련 서비스업', '3.0', '3.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R218: ['70 연구개발업', '21.0', '11.0', '1.0', '', '9.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R219: ['71 전문 서비스업', '5.0', '4.0', '1.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R220: ['73 기타 전문, 과학 및 기술 서비스업', '2.0', '1.0', '', '', '1.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R221: ['74 사업시설 관리 및 조경 서비스업', '2.0', '1.0', '', '', '1.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R222: ['75 사업 지원 서비스업', '4.0', '3.0', '', '', '1.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R223: ['86 보건업', '274.0', '56.0', '91.0', '127.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R224: ['87 사회복지 서비스업', '30.0', '13.0', '14.0', '3.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R225: ['90 창작, 예술 및 여가관련 서비스업', '24.0', '16.0', '8.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R226: ['91 스포츠 및 오락관련 서비스업', '17.0', '11.0', '6.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R227: ['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R228: ['대학교별 취업 희망 직군', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R229: ['', '응답자 수', '소속 대학', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R230: ['', '', '울산대학교', '울산과학대학교', '춘해보건대학교', '울산과학기술원', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R231: ['', '', '응답자 수', '응답자 수', '응답자 수', '응답자 수', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R232: ['전 체', '1000.0', '521.0', '256.0', '130.0', '93.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R233: ['00 경영·사무·금융·보험직', '90.0', '80.0', '6.0', '4.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R234: ['01 관리직(임원·부서장)', '74.0', '44.0', '19.0', '8.0', '3.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R235: ['02 경영·행정·사무직', '79.0', '61.0', '11.0', '5.0', '2.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R236: ['03 금융·보험직', '10.0', '6.0', '1.0', '3.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R237: ['10 연구직 및 공학 기술직', '154.0', '76.0', '40.0', '32.0', '6.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R238: ['11 인문·사회과학 연구직', '1.0', '', '', '', '1.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R239: ['12 자연·생명과학 연구직', '11.0', '6.0', '', '', '5.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R240: ['13 정보통신 연구개발직 및 공학기술직', '45.0', '19.0', '3.0', '', '23.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R241: ['14 건설·채굴 연구개발직 및 공학기술직', '23.0', '18.0', '3.0', '', '2.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R242: ['15 제조 연구개발직 및 공학기술직', '19.0', '12.0', '4.0', '', '3.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R243: ['20 교육·법률·사회복지·경찰·소방직 및 군인', '2.0', '2.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R244: ['21 교육직', '18.0', '5.0', '11.0', '2.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R245: ['22 법률직', '3.0', '', '2.0', '1.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R246: ['23 사회복지·종교직', '17.0', '5.0', '10.0', '2.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R247: ['24 경찰·소방·교도직', '2.0', '1.0', '', '1.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R248: ['25 군인', '1.0', '', '', '1.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R249: ['30 보건·의료직', '191.0', '57.0', '63.0', '71.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R250: ['40 예술·디자인·방송·스포츠직', '3.0', '2.0', '', '', '1.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R251: ['41 예술·디자인·방송직', '15.0', '13.0', '2.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R252: ['42 스포츠·레크리에이션직', '6.0', '', '6.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R253: ['50 미용·여행·숙박·음식·경비·청소직', '6.0', '6.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R254: ['52 여행·숙박·오락 서비스직', '2.0', '2.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R255: ['53 음식 서비스직', '9.0', '2.0', '7.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R256: ['61 영업·판매직', '3.0', '3.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R257: ['62 운전·운송직', '2.0', '2.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R258: ['70 건설·채굴직', '4.0', '3.0', '1.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R259: ['80 설치·정비·생산직', '4.0', '1.0', '3.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R260: ['81 기계 설치·정비·생산직', '78.0', '40.0', '24.0', '', '14.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R261: ['82 금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등)', '1.0', '1.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R262: ['83 전기·전자 설치·정비·생산직', '72.0', '27.0', '22.0', '', '23.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R263: ['85 화학·환경 설치·정비·생산직', '39.0', '15.0', '15.0', '', '9.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R264: ['86 섬유·의복 생산직', '4.0', '3.0', '', '', '1.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R265: ['87 식품가공·생산직', '2.0', '', '2.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R266: ['88 인쇄·목재·공예 및 기타 설치·정비·생산직', '2.0', '2.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R267: ['9999 기타', '8.0', '7.0', '1.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R268: ['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R269: ['울산 지역 기업 인식 수준', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R270: ['', '', '연봉 수준', '근무 환경', '물리적 환경', '복지 수준', '고용 안정성', '기업의 발전 가능성', '개인 성장 가능성', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R271: ['', '', '업체수', '업체수', '업체수', '업체수', '업체수', '업체수', '업체수', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R272: ['전 체', '', '877.0', '870.0', '862.0', '854.0', '862.0', '876.0', '872.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R273: ['소속 대학', '울산대학교', '470.0', '467.0', '462.0', '458.0', '462.0', '467.0', '465.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R274: ['', '울산과학대학교', '219.0', '218.0', '213.0', '211.0', '214.0', '221.0', '220.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R275: ['', '춘해보건대학교', '112.0', '110.0', '109.0', '108.0', '109.0', '111.0', '112.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R276: ['', '울산과학기술원', '76.0', '75.0', '78.0', '77.0', '77.0', '77.0', '75.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R277: ['학년', '1학년', '195.0', '193.0', '192.0', '185.0', '188.0', '194.0', '195.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R278: ['', '2학년', '287.0', '281.0', '281.0', '277.0', '282.0', '281.0', '278.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R279: ['', '3학년', '254.0', '254.0', '246.0', '249.0', '253.0', '260.0', '258.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R280: ['', '4학년 이상', '141.0', '142.0', '143.0', '143.0', '139.0', '141.0', '141.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R281: ['전공', '인문사회계열', '165.0', '161.0', '163.0', '159.0', '157.0', '162.0', '160.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R282: ['', '자연과학계열', '280.0', '276.0', '276.0', '273.0', '277.0', '278.0', '278.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R283: ['', '공학계열', '407.0', '408.0', '398.0', '396.0', '402.0', '409.0', '407.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R284: ['', '예체능계열', '25.0', '25.0', '25.0', '26.0', '26.0', '27.0', '27.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R285: ['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R286: ['울산 지역 기업 인식 수준', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R287: ['', '', '연봉 수준', '근무 환경', '물리적 환경', '복지 수준', '고용 안정성', '기업의 발전 가능성', '개인 성장 가능성', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R288: ['', '', '평균', '평균', '평균', '평균', '평균', '평균', '평균', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R289: ['전 체', '', '3.7457240592930443', '3.6517241379310343', '3.6438515081206497', '3.6463700234192036', '3.6890951276102086', '3.65296803652968', '3.5894495412844036', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R290: ['소속 대학', '울산대학교', '3.9170212765957446', '3.8029978586723767', '3.7445887445887447', '3.7336244541484715', '3.794372294372294', '3.7687366167023555', '3.6795698924731184', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R291: ['', '울산과학대학교', '3.689497716894977', '3.55045871559633', '3.5492957746478875', '3.6113744075829386', '3.6261682242990654', '3.583710407239819', '3.5545454545454547', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R292: ['', '춘해보건대학교', '3.5267857142857144', '3.463636363636364', '3.5596330275229358', '3.537037037037037', '3.6422018348623855', '3.6396396396396398', '3.5892857142857144', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R293: ['', '울산과학기술원', '3.1710526315789473', '3.28', '3.423076923076923', '3.3766233766233764', '3.2987012987012987', '3.168831168831169', '3.1333333333333333', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R294: ['학년', '1학년', '3.6717948717948716', '3.4455958549222796', '3.4166666666666665', '3.4054054054054053', '3.5', '3.463917525773196', '3.3846153846153846', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R295: ['', '2학년', '3.7177700348432055', '3.7580071174377223', '3.7686832740213525', '3.6823104693140793', '3.734042553191489', '3.7259786476868326', '3.7014388489208634', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R296: ['', '3학년', '3.763779527559055', '3.716535433070866', '3.6747967479674797', '3.6987951807228914', '3.699604743083004', '3.6884615384615387', '3.6666666666666665', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R297: ['', '4학년 이상', '3.872340425531915', '3.6056338028169015', '3.6503496503496504', '3.797202797202797', '3.8345323741007196', '3.702127659574468', '3.5106382978723403', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R298: ['전공', '인문사회계열', '3.7454545454545456', '3.732919254658385', '3.668711656441718', '3.6540880503144653', '3.732484076433121', '3.6728395061728394', '3.5875', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R299: ['', '자연과학계열', '3.607142857142857', '3.5579710144927534', '3.5579710144927534', '3.600732600732601', '3.747292418772563', '3.6654676258992804', '3.6079136690647484', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R300: ['', '공학계열', '3.86977886977887', '3.698529411764706', '3.708542713567839', '3.70959595959596', '3.656716417910448', '3.6577017114914425', '3.6093366093366095', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R301: ['', '예체능계열', '3.28', '3.4', '3.4', '3.1153846153846154', '3.3076923076923075', '3.3333333333333335', '3.111111111111111', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R302: ['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R303: ['졸업 후 희망 취업 지역', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R304: ['', '', '구 분', '졸업 후 희망 취업 지역', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R305: ['', '', '', '울산 지역 이유', '', '수도권(서울/경기/인천)', '', '경상권(대구, 경북, 부산, 경남)', '', '그 외 지역', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R306: ['', '', '', '빈도', '비율', '빈도', '비율', '빈도', '비율', '빈도', '비율', '', '', '', '', '', '', '', '', '', '', '', '']
  R307: ['전 체', '', '1000.0', '549.0', '0.549', '211.0', '0.21099999999999997', '212.0', '0.212', '28.0', '0.028000000000000004', '', '', '', '', '', '', '', '', '', '', '', '']
  R308: ['소속 대학', '울산대학교', '521.0', '318.0', '0.6103646833013435', '92.0', '0.1765834932821497', '102.0', '0.19577735124760076', '9.0', '0.01727447216890595', '', '', '', '', '', '', '', '', '', '', '', '']
  R309: ['', '울산과학대학교', '256.0', '149.0', '0.58203125', '53.0', '0.20703125', '50.0', '0.1953125', '4.0', '0.015625', '', '', '', '', '', '', '', '', '', '', '', '']
  R310: ['', '춘해보건대학교', '130.0', '57.0', '0.43846153846153846', '17.0', '0.13076923076923078', '49.0', '0.3769230769230769', '7.0', '0.05384615384615385', '', '', '', '', '', '', '', '', '', '', '', '']
  R311: ['', '울산과학기술원', '93.0', '25.0', '0.26881720430107525', '49.0', '0.5268817204301075', '11.0', '0.11827956989247312', '8.0', '0.08602150537634409', '', '', '', '', '', '', '', '', '', '', '', '']
  R312: ['학년', '1학년', '233.0', '131.0', '0.5622317596566524', '52.0', '0.22317596566523604', '44.0', '0.1888412017167382', '6.0', '0.02575107296137339', '', '', '', '', '', '', '', '', '', '', '', '']
  R313: ['', '2학년', '320.0', '187.0', '0.584375', '70.0', '0.21875', '60.0', '0.1875', '3.0', '0.009375', '', '', '', '', '', '', '', '', '', '', '', '']
  R314: ['', '3학년', '292.0', '152.0', '0.5205479452054794', '56.0', '0.1917808219178082', '69.0', '0.2363013698630137', '15.0', '0.05136986301369863', '', '', '', '', '', '', '', '', '', '', '', '']
  R315: ['', '4학년 이상', '155.0', '79.0', '0.5096774193548387', '33.0', '0.2129032258064516', '39.0', '0.25161290322580643', '4.0', '0.025806451612903226', '', '', '', '', '', '', '', '', '', '', '', '']
  R316: ['전공', '인문사회계열', '192.0', '123.0', '0.640625', '31.0', '0.16145833333333337', '37.0', '0.19270833333333337', '1.0', '0.005208333333333332', '', '', '', '', '', '', '', '', '', '', '', '']
  R317: ['', '자연과학계열', '325.0', '160.0', '0.49230769230769234', '62.0', '0.19076923076923077', '90.0', '0.27692307692307694', '13.0', '0.04', '', '', '', '', '', '', '', '', '', '', '', '']
  R318: ['', '공학계열', '444.0', '254.0', '0.5720720720720721', '105.0', '0.23648648648648649', '73.0', '0.16441441441441446', '12.0', '0.027027027027027025', '', '', '', '', '', '', '', '', '', '', '', '']
  R319: ['', '예체능계열', '39.0', '12.0', '0.3076923076923077', '13.0', '0.33333333333333326', '12.0', '0.3076923076923077', '2.0', '0.05128205128205128', '', '', '', '', '', '', '', '', '', '', '', '']
  R320: ['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R321: ['울산 정주 환경이 타지역 취업에 미친 영향', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R322: ['', '', '구 분', '울산 정주환경이 타지역 취업에 미친 영향', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R323: ['', '', '', '그렇다', '', '아니다', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R324: ['', '', '', '빈도', '비율', '빈도', '비율', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R325: ['전 체', '', '451.0', '141.0', '0.31263858093126384', '310.0', '0.6873614190687362', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R326: ['소속 대학', '울산대학교', '203.0', '84.0', '0.41379310344827586', '119.0', '0.5862068965517241', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R327: ['', '울산과학대학교', '107.0', '34.0', '0.3177570093457944', '73.0', '0.6822429906542056', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R328: ['', '춘해보건대학교', '73.0', '22.0', '0.3013698630136986', '51.0', '0.6986301369863014', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R329: ['', '울산과학기술원', '68.0', '1.0', '0.014705882352941175', '67.0', '0.9852941176470589', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R330: ['학년', '1학년', '102.0', '30.0', '0.29411764705882354', '72.0', '0.7058823529411765', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R331: ['', '2학년', '133.0', '41.0', '0.3082706766917293', '92.0', '0.6917293233082706', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R332: ['', '3학년', '140.0', '42.0', '0.3', '98.0', '0.7', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R333: ['', '4학년 이상', '76.0', '28.0', '0.3684210526315789', '48.0', '0.631578947368421', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
  R334: ['전공', '인문사회계열', '69.0', '28.0', '0.4057971014492754', '41.0', '0.5942028985507246', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
